Date,Close/Last,Volume,Open,High,Low
2019-12-23,71.0,98711520.0,70.132,71.062,70.093
2019-12-24,71.068,48478840.0,71.172,71.222,70.73
2019-12-25,71.808,52664503.788,71.033,71.694,70.877
2019-12-26,72.478,93336000.0,71.205,72.495,71.175
2019-12-27,72.45,146371760.0,72.78,73.492,72.03
2019-12-28,72.442,174637440.168,73.347,73.778,72.027
2019-12-29,72.576,172604766.657,72.74,73.358,71.215
2019-12-30,72.88,144238440.0,72.365,73.172,71.305
2019-12-31,73.412,100990520.0,72.482,73.42,72.38
2020-01-01,74.505,107608664.935,73.245,74.34,73.234
2020-01-02,75.088,135647440.0,74.06,75.15,73.798
2020-01-03,74.358,146535520.0,74.288,75.145,74.125
2020-01-04,74.254,144265220.857,73.814,75.036,73.764
2020-01-05,74.884,131316697.103,72.924,74.955,72.909
2020-01-06,74.95,118578560.0,73.448,74.99,73.188
2020-01-07,74.598,111510640.0,74.96,75.225,74.37
2020-01-08,75.798,132363800.0,74.29,76.11,74.289
2020-01-09,77.408,170486160.0,76.809,77.608,76.55
2020-01-10,77.582,140869080.0,77.65,78.168,77.062
2020-01-11,78.162,111473942.74,77.617,78.559,77.232
2020-01-12,79.244,99331710.098,77.248,78.949,77.45
2020-01-13,79.24,122086880.0,77.91,79.268,77.788
2020-01-14,78.17,162613840.0,79.175,79.392,78.042
2020-01-15,77.835,121923520.0,77.962,78.875,77.388
2020-01-16,78.81,108829000.0,78.398,78.925,78.022
2020-01-17,79.682,137816480.0,79.068,79.685,78.75
2020-01-18,79.977,152479596.466,79.369,80.084,79.077
2020-01-19,79.655,143346484.292,79.262,79.942,78.966
2020-01-20,79.211,124705059.973,79.116,79.689,78.81
2020-01-21,79.142,110843240.0,79.298,79.755,79.0
2020-01-22,79.425,101832480.0,79.645,79.998,79.328
2020-01-23,79.808,104471960.0,79.48,79.89,78.912
2020-01-24,79.578,146537520.0,80.062,80.832,79.38
2020-01-25,78.495,171289846.618,79.666,80.297,78.549
2020-01-26,76.93,170948437.702,78.242,78.315,76.495
2020-01-27,77.238,161940040.0,77.515,77.942,76.22
2020-01-28,79.422,162233960.0,78.15,79.6,78.048
2020-01-29,81.085,216599720.0,81.112,81.962,80.345
2020-01-30,80.968,126743240.0,80.136,81.022,79.688
2020-01-31,77.378,199588400.0,80.232,80.67,77.072
2020-02-01,75.285,239682060.782,78.878,79.777,75.101
2020-02-02,75.464,212660417.028,76.137,78.347,74.315
2020-02-03,77.165,173985600.0,76.075,78.372,75.555
2020-02-04,79.712,136616520.0,78.828,79.91,78.409
2020-02-05,80.362,118826880.0,80.88,81.19,79.738
2020-02-06,81.302,105425560.0,80.642,81.305,80.066
2020-02-07,80.008,117684040.0,80.592,80.85,79.5
2020-02-08,79.607,125357137.93,79.63,80.451,78.761
2020-02-09,80.396,122551196.759,77.973,80.229,78.122
2020-02-10,80.388,109348880.0,78.545,80.388,78.462
2020-02-11,79.902,94323120.0,80.9,80.975,79.678
2020-02-12,81.8,113730280.0,80.368,81.805,80.368
2020-02-13,81.218,94747560.0,81.048,81.555,80.838
2020-02-14,81.238,80113800.0,81.185,81.495,80.712
2020-02-15,80.912,94522735.874,80.651,81.067,80.059
2020-02-16,79.96,140555082.135,79.499,80.133,78.902
2020-02-17,79.276,174528887.328,78.604,79.49,78.136
2020-02-18,79.75,152762200.0,78.84,79.938,78.652
2020-02-19,80.905,93983960.0,80.0,81.142,80.0
2020-02-20,80.075,100565960.0,80.658,81.162,79.552
2020-02-21,78.262,129705680.0,79.655,80.112,77.625
2020-02-22,77.093,162278985.723,77.512,78.659,75.6
2020-02-23,76.486,195546619.149,74.807,77.037,73.736
2020-02-24,74.545,222195320.0,74.315,76.045,72.308
2020-02-25,72.02,230673440.0,75.238,75.632,71.532
2020-02-26,73.162,198713720.0,71.632,74.47,71.625
2020-02-27,68.38,320605520.0,70.275,71.5,68.24
2020-02-28,68.34,426884800.0,64.315,69.602,64.092
2020-02-29,70.904,443784244.752,62.269,70.331,63.558
2020-03-01,74.567,381519466.048,65.345,73.325,66.636
2020-03-02,74.702,341397360.0,70.57,75.36,69.43
2020-03-03,72.33,319475400.0,75.918,76.0,71.45
2020-03-04,75.685,219178280.0,74.11,75.85,73.282
2020-03-05,73.23,187572880.0,73.88,74.888,72.852
2020-03-06,72.258,226177000.0,70.5,72.705,70.308
2020-03-07,69.673,258708257.226,67.21,70.57,67.805
2020-03-08,65.7,274870749.776,65.066,68.977,65.895
2020-03-09,66.542,286744840.0,65.938,69.522,65.75
2020-03-10,71.335,285290080.0,69.285,71.61,67.342
2020-03-11,68.858,256379880.0,69.348,70.305,67.965
2020-03-12,62.058,418474000.0,63.985,67.5,62.0
2020-03-13,69.492,370732120.0,66.222,69.98,63.238
2020-03-14,70.467,323214095.473,65.829,69.948,63.475
2020-03-15,63.101,318953135.395,61.745,66.656,61.381
2020-03-16,60.552,322423480.0,60.488,64.77,60.0
2020-03-17,63.215,324055880.0,61.878,64.402,59.6
2020-03-18,61.668,300233640.0,59.942,62.5,59.28
2020-03-19,61.195,271857040.0,61.846,63.21,60.652
2020-03-20,57.31,401693200.0,61.795,62.958,57.0
2020-03-21,54.2,454845188.575,60.106,60.463,53.342
2020-03-22,53.098,401962886.967,57.535,56.598,51.183
2020-03-23,56.092,336752840.0,57.02,57.125,53.152
2020-03-24,61.72,287531080.0,59.09,61.922,58.575
2020-03-25,61.38,303602040.0,62.688,64.562,61.075
2020-03-26,64.61,252560680.0,61.63,64.67,61.59
2020-03-27,61.935,204216600.0,63.188,63.968,61.762
2020-03-28,60.838,171459334.424,63.596,63.223,61.756
2020-03-29,62.434,155616966.171,62.452,62.745,61.692
2020-03-30,63.702,167976440.0,62.685,63.88,62.35
2020-03-31,63.572,197002000.0,63.9,65.622,63.0
2020-04-01,60.228,176218560.0,61.625,62.18,59.782
2020-04-02,61.232,165933960.0,60.085,61.288,59.225
2020-04-03,60.352,129880080.0,60.7,61.425,59.744
2020-04-04,61.383,131466216.725,60.601,62.197,60.218
2020-04-05,64.512,173815108.759,59.945,63.633,60.722
2020-04-06,65.618,201820280.0,62.725,65.778,62.345
2020-04-07,64.858,202887320.0,67.7,67.925,64.75
2020-04-08,66.518,168895280.0,65.685,66.842,65.308
2020-04-09,66.998,162116480.0,67.175,67.518,66.175
2020-04-10,66.742,144778502.664,67.871,67.614,66.247
2020-04-11,65.956,108529438.799,66.683,66.567,65.257
2020-04-12,66.019,91300505.534,65.716,66.223,64.796
2020-04-13,68.312,131022920.0,67.078,68.425,66.458
2020-04-14,71.762,194994680.0,70.0,72.062,69.512
2020-04-15,71.108,131154560.0,70.6,71.582,70.158
2020-04-16,71.672,157125160.0,71.845,72.049,70.588
2020-04-17,70.7,215249920.0,71.172,71.736,69.215
2020-04-18,70.282,204989082.403,70.395,71.41,69.141
2020-04-19,70.525,133536508.503,69.889,71.179,70.353
2020-04-20,69.232,130015000.0,69.488,70.42,69.212
2020-04-21,67.092,180991560.0,69.07,69.312,66.358
2020-04-22,69.025,117057360.0,68.402,69.475,68.05
2020-04-23,68.758,124814320.0,68.968,70.438,68.718
2020-04-24,70.742,126508720.0,69.3,70.752,69.25
2020-04-25,71.97,124818537.05,69.533,70.888,69.774
2020-04-26,71.833,122943488.741,69.8,70.981,70.175
2020-04-27,70.792,117087560.0,70.45,71.135,69.988
2020-04-28,69.645,112004760.0,71.27,71.458,69.55
2020-04-29,71.932,137280800.0,71.182,72.418,70.972
2020-04-30,73.45,183063880.0,72.49,73.632,72.088
2020-05-01,72.268,240616720.0,71.562,74.75,71.462
2020-05-02,71.736,233053178.848,71.0,74.509,70.804
2020-05-03,72.334,164032944.441,71.327,73.156,70.57
2020-05-04,73.29,133567960.0,72.292,73.422,71.579
2020-05-05,74.39,147751200.0,73.765,75.25,73.615
2020-05-06,75.158,142333760.0,75.115,75.81,74.718
2020-05-07,75.935,115215040.0,75.805,76.292,75.492
2020-05-08,77.532,134047960.0,76.41,77.588,76.072
2020-05-09,78.644,145981299.656,76.32,78.424,76.247
2020-05-10,79.034,143315264.592,75.784,78.706,76.151
2020-05-11,78.752,145946240.0,77.025,79.262,76.81
2020-05-12,77.852,162301040.0,79.458,79.922,77.728
2020-05-13,76.912,200622560.0,78.038,78.988,75.802
2020-05-14,77.385,158929080.0,76.128,77.448,75.382
2020-05-15,76.928,166348360.0,75.088,76.975,75.052
